group,title,coding
politics_filtered_nov20,Michigan State senator met by protestors as he arrives for meeting with Trump,
politics_filtered_nov19,"Giuliani, flailing, says Venezuela, Clinton and Soros hatched 'centralized plan' to steal election for Biden",
politics_filtered_nov20,Conservative media has stayed devoted to Trump’s bogus claims of victory — but cracks are starting to show,
politics_filtered_nov20,"Georgia certifies election results, making Biden win official",
conservative_filtered_nov20,Trump campaign lawyer under protection following ‘threats of harm’,
politics_filtered_nov20,Tucker Carlson calls out Trump's election lawyer for refusing to show evidence supporting the president's baseless voter fraud claims,
politics_filtered_nov20,Trump's emotional state is 'quite fragile' after election loss,
politics_filtered_nov20,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election,
politics_filtered_nov19,"Pro-Biden Republican group releases video accusing GOP Senator Loeffler of ""craven corruption""",
politics_filtered_nov20,"GOP Sens. Romney and Sasse condemn Trump's election challenges, ""We are a nation of laws, not tweets""",
politics_filtered_nov21,"Trump lawyers filed a motion in Pennsylvania to clarify they only want to block the state from certifying results of the presidential elections, not any other races on the same ballot",
politics_filtered_nov20,House Democrats push Biden to pick Haaland as next Interior secretary,
conservative_filtered_nov20,NRA Presents Biden With Prestigious 'Gun Salesman Of The Month' Award,
politics_filtered_nov19,Trump May Need to Be Impeached and Removed Before Inauguration Day,
conservative_filtered_nov20,"Biden’s COVID Plan: Close The Economy, Open The Border",
politics_filtered_nov21,"Trump’s Pennsylvania Suit is ‘Incoherent Conspiracy,’ Voters Say",
politics_filtered_nov21,Twitter to hand over @POTUS account to Biden on January 20,
politics_filtered_nov21,Detroit asks judge to sanction Trump campaign for spreading 'disinformation',
politics_filtered_nov20,Senate GOP Shatters 123-Year Tradition to Approve Even More Trump Judges,
politics_filtered_nov20,"As Trump Refuses To Concede, Some South Americans In Houston Are Reminded Of Home",
conservative_filtered_nov21,Watch: Sidney Powell – Millions of DEAD People Voted! 7 Million Votes STOLEN From Trump!,
politics_filtered_nov19,Biden condemns Trump as one of the 'most irresponsible presidents in American history',
conservative_filtered_nov20,Biden Says He Will Admit and Grant Permanent Status to Immigrants Who Go on Food Stamps and Medicaid,
politics_filtered_nov21,President-elect Joe Biden Asks Public to Fund Transition as Trump Refuses to Concede,
politics_filtered_nov21,Trump’s press secretary Kayleigh McEnany heckled in briefing: ‘When will you admit you lost?’,
conservative_filtered_nov21,"Georgia certifies election results, making Biden win official",
politics_filtered_nov21,Liz Cheney: Trump should respect ‘the sanctity of our electoral process’,
politics_filtered_nov19,Trump personally called two Republicans who now oppose certifying Detroit-area votes,
conservative_filtered_nov20,Trump Announces a Press Conference and a ‘Viable Path to Victory’,
politics_filtered_nov21,"Justice Dept. meets Trump, Giuliani vote-fraud claims with silent skepticism",
politics_filtered_nov21,Anger builds in Black community over Trump’s claims of voter fraud in big cities,
politics_filtered_nov21,Fareed Zakaria: Trump presidency is stomping on the face of democracy forever,
conservative_filtered_nov19,Trump Campaign Holds Press Conference to Outline 'Viable Path to Victory',
conservative_filtered_nov19,Atlanta Mayor Suggests Trump Would ‘Eat His Own Children’ To Advance Agenda | The Daily Wire,
politics_filtered_nov19,"If Biden Forgives First $20K of Student Loans, It Erases Debt For 55% of Borrowers",
politics_filtered_nov20,"Joe Biden wins presidential race in Georgia, defeating Trump.",
politics_filtered_nov20,Ilhan Omar to President-elect Biden: Seize 'Once-in-a-Generation' Chance to End Disastrous US Foreign Policy,
politics_filtered_nov19,Trump's legal adviser Jenna Ellis in 2016 called him an 'idiot' and said his supporters didn't care about 'facts or logic',
politics_filtered_nov21,"In 'Tremendous Rebuke' of Trump Appointee, Federal Judge Bars US Media Agency Head From Interfering in News Coverage | ""Michael Pack has repeatedly and intentionally violated the First Amendment rights of VOA journalists.""",
politics_filtered_nov20,"Trump Thought His Secretive Sister Finally Joined MAGA Twitter. So We Called Her. -“I’m trying to delete it,” a woman who identified herself as Trump’s sister said. “I’m just annoyed about this whole thing.”",
politics_filtered_nov20,More GOP Senators Have COVID Than Have Acknowledged That Joe Biden Won,
conservative_filtered_nov21,Trump Campaign Fact-Checks the Media: Georgia Has Not Certified Biden's Win,
politics_filtered_nov20,"Once Out Of Office, Trump Faces Significant Legal Peril",
conservative_filtered_nov19,"Half of Republicans in new poll say election was 'rigged,' stolen from Trump",
conservative_filtered_nov21,Joe Biden stays silent over proposed meeting with BLM founder,
conservative_filtered_nov20,A Poll was released this morning trying to track trends into 2024 and the majority of deceased voters say they will vote again for Biden.,
politics_filtered_nov21,"Trump Is Still Raging Against Democracy. But It’s Time To Applaud The Tenacity Of Voters, Poll And USPS Workers",
conservative_filtered_nov19,Joy Reid vs. Fmr. Trump Aide: How Do You Reconcile Being A Black Man In This Country And A Republican?,
conservative_filtered_nov19,"Biden Hires Pharma, Big Oil People To Fill His Administration After Claiming He Would Be Tough On Those Industries",
politics_filtered_nov21,"After Trump meeting, Michigan GOP lawmakers affirmed Biden will win the state and urged Trump to focus on the COVID-19 pandemic currently ravaging the US",
politics_filtered_nov20,Joe Scarborough Lays Down Ultimatum To Mitch McConnell Over Trump Support,
politics_filtered_nov19,Health Experts Demand GSA Chief Stop Holding Up Biden’s Transition As COVID Cases Surge,
politics_filtered_nov19,Michigan Republican who balked at certifying election results says Trump called her,
conservative_filtered_nov21,"New Senate report purportedly 'confirms' Biden family's business ties to Chinese, Russian governments",
politics_filtered_nov20,Joe Biden confirmed as winner in Georgia after hand recount results announced,
politics_filtered_nov21,Hoyer on Trump election challenges: 'I think this borders on treason',
conservative_filtered_nov19,The Hill’s Joe Concha Takes Blowtorch to Pro-Biden ‘Marshmallow Media’,
politics_filtered_nov21,"NJ Democrat Calls for Rudy Giuliani, Other Trump Attorneys to be Disbarred",
politics_filtered_nov21,Trump wanted to bomb Iran — and still could — leaving Biden to pick up the pieces,
conservative_filtered_nov21,Donald Trump: ‘Big Pharma’ Purposely Delayed Coronavirus Vaccine Until After Election,
conservative_filtered_nov20,"If Biden Can Take Power by Fraud, Our Republic Has Abolished Itself",
politics_filtered_nov19,Ernst: Trump lawyer claim that candidates pay to rig elections 'absolutely outrageous',
politics_filtered_nov21,Bernie Sanders says the 'GOP has ceased to be a political party' and 'is now a cult' for staying silent on Trump's election attacks,
politics_filtered_nov19,Election results: Joe Biden approaches 80 million votes in historic victory,
politics_filtered_nov21,Trump tells G20 leaders he wants to work with them ‘for a long time’,
politics_filtered_nov19,"Trump Should Quit and 'Not Be Embarrassing,' Says Czech President, Who Was an Early Trump Ally",
politics_filtered_nov21,"Two weeks after Biden named President-elect, Trump faces stinging setbacks",
conservative_filtered_nov20,Giuliani: 'Massive Fraud' Used to Steal Election From Trump,
politics_filtered_nov19,Trump advisers reportedly think Rudy Giuliani is encouraging election lawsuits so he can get paid,
politics_filtered_nov20,Georgia Secretary of State to certify election for Biden,
politics_filtered_nov21,Biden to Work to End Executions as Government Sets 3 More,
politics_filtered_nov19,Biden nears record 80m votes as Trump persists in trying to overturn result,
politics_filtered_nov19,‘It’s Time for the State Bars to Come Get Their People’: Lawyers Eviscerate Trump Campaign’s ‘Nonsensical’ Press Conference,
politics_filtered_nov20,Discussion Thread: President-Elect Joe Biden Gives Remarks After Meeting with Governors,
politics_filtered_nov19,Trump Loses Georgia Again. Audit Confirms President-Elect Joe Biden Wins Goergia.,
politics_filtered_nov21,Judge rules against Trump global media chief after firings,
conservative_filtered_nov20,"3rd monitor, a Democrat: ""Hundreds of these ballots seemed impeccable, with no folds or creases. The bubble selections were perfectly made ... only observed selections in black ink, and all happened to be selections for Biden.""",
politics_filtered_nov19,"Biden looks to rehire diplomats, others fired by Trump to rebuild State Department",
conservative_filtered_nov21,Federal Election Commission Chair: Trump Campaign Has Legitimate Claims of Election Fraud,
politics_filtered_nov21,"After Years of Watching ‘Trump Show,’ TV News Starts to Turn it Off",
politics_filtered_nov20,Don't ignore Trump's election mischief. Take it seriously,
conservative_filtered_nov20,Obama Tells Jimmy Kimmel: 'We Can Always Send the Navy SEALS' to Remove Trump from White House,
politics_filtered_nov19,"Trump will lose his 'world leader' Twitter privileges on January 20, Jack Dorsey confirms — meaning he could get banned just like everyone else",
politics_filtered_nov21,Judge rules against Trump global media chief after firings,
conservative_filtered_nov19,"When Proven Liars Say Trump's Chances Are Slim, It's Time to Listen to Honest Folk Who Know the Score Instead",
conservative_filtered_nov21,Biden says in video he has created 'voter fraud organization',
politics_filtered_nov21,Latinas for Trump founder unseated Florida Democrat after seeing ‘shadow candidate’ enter race,
politics_filtered_nov19,Calls for Trump ally Lindsey Graham to resign over Georgia phone call,
politics_filtered_nov19,Trump campaign is 1-29 in post-election lawsuits after latest defeat,
politics_filtered_nov19,"'People Need Help': AOC Slams Trump's Economic Adviser for Saying Stimulus Not Needed, Economy's Doing Fine",
politics_filtered_nov19,Does Trump realize he only has until January 20th 2021 to leave the White House?,
politics_filtered_nov19,A new #Resistance hero emerges amid the Trump endgame: The dutiful civil servant,
conservative_filtered_nov21,Twitter Plans To Hand @POTUS Handle Over To Biden On Jan. 20 No Matter What,
politics_filtered_nov19,Giuliani Alleges a Vast International Conspiracy to Steal the Election From Trump,
politics_filtered_nov21,Wisconsin officials: Trump observers obstructing recount,
politics_filtered_nov21,"Analysis: With silence, GOP enables Trump's risky endgame",
politics_filtered_nov21,AP Fact Check: Trump's flailing effort resting on mendacity,
conservative_filtered_nov19,Biden Wants Billions in Taxes from Firearms Owners,
politics_filtered_nov21,GOP Michigan ex-governor says state board will certify Biden winner over 'bully' Trump,
politics_filtered_nov19,"Trump faces likely setback in Georgia recount, drops Michigan lawsuit",
politics_filtered_nov21,"Joe Biden Owes His Victory to the Left. Organizers, not consultants, delivered key states like Pennsylvania, Arizona and Georgia.",
politics_filtered_nov20,"Biden brushes aside Trump attempts to overturn the election, confident his victory will stand",
politics_filtered_nov21,Nancy Pelosi calls Trump a 'psychopathic nut' as the president continues to try to overturn the election results,
conservative_filtered_nov20,Trump Campaign Fact-Checks the Media: Georgia Has Not Certified Biden's Win,
politics_filtered_nov19,Trump is trying to disenfranchise Black voters. The GOP isn’t stopping him.,
conservative_filtered_nov20,Biden Says He Discussed National Mask Mandate With Governors During Meeting,
conservative_filtered_nov21,"McEnany: Trump's path to victory is Supreme Court, exposing 'systemic' voter fraud",
conservative_filtered_nov21,Trump Objects to Counting Thousands of Wisconsin Ballots,
politics_filtered_nov21,Obama jokes that Navy SEALs could remove Trump from the White House,
politics_filtered_nov20,"Happy birthday, Joe: 78-year-old Biden to be oldest US president to take office",
politics_filtered_nov20,Bob Corker: Republicans ‘have an obligation’ to challenge Trump’s voter fraud allegations,
conservative_filtered_nov20,"TRUMP: Biden receives a dump of 143,379 votes at 3:42AM a day after the election",
politics_filtered_nov19,"Trump canceled his annual plan to spend Thanksgiving at Mar-a-Lago, as aides describe a 'bunker mentality' at the White House",
politics_filtered_nov19,Biden Urged to Make Haaland First Native American in Cabinet,
politics_filtered_nov19,Trump Tries Desperate And Damaging New Tack As He Refuses To Accept Loss,
conservative_filtered_nov19,Tevi Troy: When Senator Biden lectured Israeli Prime Minister Begin over settlements,
politics_filtered_nov21,Trump Takes Another L: Michigan GOPers Say No To Election Steal,
politics_filtered_nov21,Election 2020 updates: Michigan GOP Speaker Chatfield drinks at Trump Hotel; Carson was 'desperately ill' from COVID,
politics_filtered_nov20,‘Undemocratic’: Romney Rebukes Trump Effort To Overturn Will Of Michigan Voters,
politics_filtered_nov20,'Integrity matters': Meet the lone Republican election official standing up to his party and Trump,
politics_filtered_nov19,Trump’s Campaign Dropped Another Lawsuit And Lied About Stopping Detroit From Certifying Votes,
politics_filtered_nov20,Business Leaders to Trump: Give It Up,
politics_filtered_nov19,This Is the Most Pathetic Trump Fundraising Email Yet,
politics_filtered_nov20,Apparently Not Even Jared and Ivanka Think Trump's Election Scam Is Going Anywhere,
conservative_filtered_nov20,Biden Deputy Chief of Staff Pushed 'Mandatory' Firearm Buybacks,
politics_filtered_nov20,Trump to meet Michigan lawmakers in bid to overturn electoral defeat,
conservative_filtered_nov21,Donald Trump Improved Standing With Latinos In 78 Of America’s 100 Majority-Hispanic Counties,
politics_filtered_nov21,Kayleigh McEnany’s Latest Trump Lie Is Firmly Debunked In Viral Video,
politics_filtered_nov20,Trump's legal team seemingly didn't notice its allegation of election fraud in Michigan is based on data from Minnesota,
politics_filtered_nov19,Republicans Confirm Another One Of Trump's Unqualified Court Picks,
politics_filtered_nov21,The Danger (and Ineptitude) of Trump’s Failed Coup,
politics_filtered_nov19,YouTube Is Cashing In on Trump's Election Conspiracy During Giuliani Livestream,
politics_filtered_nov19,Trump called Michigan Republicans before they sought to rescind their certification of votes,
politics_filtered_nov19,Obama says Republicans officials going along with Trump's unfounded claims because they're 'intimidated',
politics_filtered_nov20,Nancy Pelosi calls Trump a 'psychopathic nut' as the president continues to try to overturn the election results,
conservative_filtered_nov21,National Democratic Party official suggests re-education for Trump supporters: 'How do you deprogram 75 million people?',
conservative_filtered_nov20,BREAKING: Georgia manual recount confirms Biden victory,
conservative_filtered_nov19,Romney: Surprising People Believe Trump's Fraud Claims,
conservative_filtered_nov19,9 Key Points from Trump Campaign Press Conference on Challenges to Election Results,
politics_filtered_nov21,Trump skips G20 coronavirus meeting to play golf and tweet bogus election claims,
politics_filtered_nov21,"Voice of America's 5 Months Under Trump CEO: Lawsuits, Bias Claims, And A Sex Scandal",
politics_filtered_nov19,Atlanta mayor: Trump would 'eat his own children' if it helped him,
politics_filtered_nov21,Twitter will give @POTUS handle to Joe Biden on Inauguration Day,
conservative_filtered_nov20,Trump Campaign Advisor Boris Epshteyn: Reporters 'Taken Aback' by Evidence Presented By Trump's Lawyers,
politics_filtered_nov20,"House Democrats tell GSA chief her refusal to certify Biden's win is ""having grave effects""",
conservative_filtered_nov19,"Can We Say Again? Third County in Georgia Finds More Missing Votes, Most for Trump",
conservative_filtered_nov21,Obama Tells Jimmy Kimmel: 'We Can Always Send the Navy SEALS' to Remove Trump from White House,
politics_filtered_nov21,"Meet Pennsylvania’s anger translator, and Donald Trump’s worst nightmare",
politics_filtered_nov20,US election 2020: Biden wins Georgia recount as Trump setbacks mount,
politics_filtered_nov21,Biden faces a race against the clock for U.S. to rejoin Iran nuclear deal | KTAB,
politics_filtered_nov21,"After Trump meeting, Michigan GOP lawmakers say they’re not aware of any info that would change Biden’s victory in state",
conservative_filtered_nov21,Trump Legal Adviser Jenna Ellis Rips Media: ‘You Are Not Unbiased Jurors’,
conservative_filtered_nov19,"Lin Wood loses motion to stop certification, Trump vows to file another ‘major lawsuit’ against Georgia election",
politics_filtered_nov19,‘Dead Man Walking’ nun says Trump administration trying to rush through executions in ‘shameful killing spree’,
politics_filtered_nov19,Facebook might stop people seeing Trump’s posts in 2021,
politics_filtered_nov20,'Call His Bluff': Edward Norton's Viral Message On Trump,
politics_filtered_nov21,Biden's lead over Trump surpasses 6M votes as more ballots are tallied,
politics_filtered_nov19,Trump's election lawsuits plagued by elementary errors,
politics_filtered_nov21,Where and why President Trump’s election challenges are falling flat in court: explainer,
politics_filtered_nov19,A hot mess: Rudy Giuliani defends President Trump by attacking Eagles fans while literally melting down on live TV,
politics_filtered_nov19,"AP Explains Calling Arizona For Biden Early, Before It Got Very Close",
politics_filtered_nov20,Trump to Host Michigan Lawmakers Despite Bipartisan Outcry,
conservative_filtered_nov20,Biden declares there will be 'no national shutdown',
politics_filtered_nov19,Trump campaign drops Michigan lawsuit: statement,
politics_filtered_nov21,Biden faces a race against the clock for U.S. to rejoin Iran nuclear deal,
politics_filtered_nov21,Biden's margin of victory over Trump surpasses 6 million votes,
politics_filtered_nov21,Trump admits Michigan Congressmen met to discuss coup,
politics_filtered_nov20,New York authorities investigating millions in tax write-offs from the Trump Organization,
politics_filtered_nov20,"Edward Norton Lays Out Trump's ""Desperate Endgame"" Using Metaphor of Failed Poker Hand — ""The core of it is that he knows he’s in deep, multi-dimensional legal jeopardy and this defines his every action,"" says the actor.",
conservative_filtered_nov19,Senate investigators: New records 'confirm' troubling Biden family links to China and Russia,
politics_filtered_nov19,Georgia presidential hand tally finished; affirms Biden's lead over Trump,
politics_filtered_nov21,"Battered by setbacks in push to reverse Biden win, Trump persists with fraud claims",
politics_filtered_nov20,Trump’s Lawyer Sidney Powell Is Hardcore QAnon: Her performance at Thursday's press conference was virtually a recitation of QAnon’s greatest hits.,
conservative_filtered_nov19,'They want Kamala in there tomorrow': Limbaugh says Dems to dump Biden -- 'They have no intention of this guy serving a full 4-year term',
politics_filtered_nov19,Texas Republican Rep. Will Hurd shames Trump for firing cybersecurity chief Christopher Krebs,
politics_filtered_nov21,‘My Frustration Turned Into Anger.’ Some Americans Who Lost Family Members to COVID-19 Have Turned Against Donald Trump,
politics_filtered_nov19,"What has Donald Trump been doing since the US election loss? Tweeting, golfing and watching TV, apparently",
politics_filtered_nov20,Joe Biden and Kamala Harris honour the 37 trans Americans murdered this year with vow to end epidemic of violence,
politics_filtered_nov20,NY probes Trump consulting payments that reduced his taxes,
politics_filtered_nov20,Georgia Secretary of State to certify election for Biden,
politics_filtered_nov20,"In Georgia, get-out-the-vote operations that helped Biden win haven’t stopped",
conservative_filtered_nov19,BREAKING: Georgia manual recount confirms Biden victory,
conservative_filtered_nov20,[Not Satire] National Democratic Party official suggests re-education for Trump supporters: 'How do you deprogram 75 million people?',
politics_filtered_nov21,NAACP Federal Suit: Trump Violated Voting Rights Act,
politics_filtered_nov20,Trump is trying to overturn an election he didn't win. We didn't get here by accident,
politics_filtered_nov19,Georgia official: Vote audit over; Biden still leads Trump,
politics_filtered_nov21,Biden Must Keep His Word and Allow Investigations of Trump to Proceed,
politics_filtered_nov21,"After Trump meeting, Michigan GOP leaders say Biden's win still stands",
politics_filtered_nov19,Trump is trying to stop local officials in key swing states from certifying election results in a last-ditch effort to block Biden,
politics_filtered_nov21,Merrick Garland is being considered for Attorney General in the Biden administration,
conservative_filtered_nov20,"Kavanaugh should face new investigation, Biden transition official Barbara McQuade wrote",
politics_filtered_nov21,Judge bars Trump appointee from interfering in Voice of America,
politics_filtered_nov20,"Giuliani, Trump Legal Team Melt Down In Insane Presser",
politics_filtered_nov19,Trump unlikely to get census data in time to exclude undocumented from representation,
conservative_filtered_nov20,About 73% Biden Vote Margin Gain in PA from Areas Given $18 Million by Zuckerberg-Funded ‘Safe Elections’ Project,
conservative_filtered_nov19,Audit Confirms President-Elect Biden Wins State of Georgia.,
conservative_filtered_nov20,Tucker Carlson​ says Trump attorney Sidney Powell wouldn't provide him with any evidence of election fraud. Powell hits back.,
politics_filtered_nov19,‘Blood On His Hands’: Mary Trump Says Her Uncle Must Be ‘Held To Account’ The president’s niece said he is “directly responsible for the deaths of thousands of Americans.,
politics_filtered_nov20,Federal Judge Strikes DOJ from the Docket in E. Jean Carroll’s Case Against Donald Trump,
conservative_filtered_nov19,"4th witness, also a Democrat saw perfect black marks on a stack of ballots ... 500 in a row all for Biden",
conservative_filtered_nov19,DNC Member Rants: ‘Deprogram’ 75 Million Trump Supporters,
politics_filtered_nov20,Republicans aren't scared of the Trump &amp; Rudy show — they love this stuff. Republicans aren't staying quiet because they fear Trump — this clown-car coup has nothing but upside for them,
politics_filtered_nov21,I met ‘monster’ reality TV star Donald Trump 16 years ago. The reality of him has been monstrous . . .,
politics_filtered_nov21,Trump Owned By Parody Twitter Account He Apparently Believed Was His Sister’s,
politics_filtered_nov19,Biden says Trump challenge to his election victory is 'totally irresponsible',
conservative_filtered_nov20,Butterball Releases Turkey With Biden-Harris Logo So You Can Just Say Your Thanksgiving Gathering Is A Political Rally,
conservative_filtered_nov20,AOC to Biden Administration: 'Keep Your Promise' on $2T Green New Deal,
politics_filtered_nov20,Trump’s lawsuits plagued by spelling errors: ‘I’ve never seen an election lawyer handle a case as poorly as Giuliani has’,
politics_filtered_nov19,Trump campaign says ‘hackers’ sabotaged livestream to comment on Giuliani hair dye dripping down his face | ‘Unauthorized users’ were heard on the Trump campaign live stream mocking the brown streaks running down Giuliani’s face,
politics_filtered_nov19,Biden team belittles ‘spectacle’ of sweaty Trump lawyer Rudy Giuliani pushing vote fraud conspiracy claims,
conservative_filtered_nov21,"Biden stuggles with words at press conference -- 'I'm going to ... employ the defense, reconstruct the act'",
politics_filtered_nov20,Trump advisers reportedly think Rudy Giuliani is encouraging election lawsuits so he can get paid,
conservative_filtered_nov19,Trump campaign lawyer under protection following ‘threats of harm’,
politics_filtered_nov20,"Romney on Trump election tactics: 'Difficult to imagine a worse, more undemocratic action' by president",
conservative_filtered_nov19,Jennifer Dillon crunched the data to s̵t̵e̵e̵r̵ ̵ steal Biden’s success,
conservative_filtered_nov20,Paul Krugman spotted doing a quick economic one-eighty with 'Biden boom' prediction,
conservative_filtered_nov21,Harvard Students Demand That Trump Officials Be Preemptively Barred From Campus,
politics_filtered_nov19,Are you sure Trump's plan to steal the election has failed? You shouldn't be,
conservative_filtered_nov19,Satire: Biden Getting Excited As Segregation Coming Back Into Style,
conservative_filtered_nov19,"Trump Campaign Withdrawing Lawsuit in Michigan After Wayne County ‘Relief,’ Says Giuliani",
politics_filtered_nov19,Georgia recount complete; Biden still the winner,
politics_filtered_nov19,Biden's incoming chief of staff says Trump 'failing to follow the law' by not letting transition begin,
politics_filtered_nov19,Michigan Republicans Are Helping Trump Try to Steal the State’s Election,
politics_filtered_nov20,Donald Trump Is Leaving Behind Blueprints to End Democracy,
politics_filtered_nov19,Biden: Trump's actions send 'damaging' message to rest of world,
politics_filtered_nov20,"Biden, top Democrats lay groundwork for multibillion dollar push to boost U.S. broadband",
politics_filtered_nov20,"‘It's difficult to imagine a worse, more undemocratic action by a sitting American President': Mitt Romney rips Trump for his latest efforts to subvert the election",
conservative_filtered_nov19,"Majority of voters say special counsel should be convened to investigate Biden, Ukraine dealings",
politics_filtered_nov20,NY probes President Trump's consulting payments that reduced his taxes,
politics_filtered_nov20,Obama joked that Trump might have to get dragged out of the White House by Navy SEALs if he keeps refusing to concede,
politics_filtered_nov21,Why Can Trump Try To Steal The Election? Blame The Electoral College.,
conservative_filtered_nov20,Lawyer working on Trump Pennsylvania effort placed under official protection due to threats,
conservative_filtered_nov19,Democrats And Media Are Reaping Fruit Of 4 Years Of Anti-Trump Conspiracy Theories,
conservative_filtered_nov20,Satire: Biden Getting Excited As Segregation Coming Back Into Style,
politics_filtered_nov19,Donald Trump’s Effort To Steal The Election Is Comically Stupid — And Extremely Dangerous,
conservative_filtered_nov20,"After UN ‘Database’ Targets Israeli Settlements, Trump Administration to Blacklist BDS Supporters",
politics_filtered_nov21,Judge rules against Trump global media chief after firings,
conservative_filtered_nov21,Michigan AG Suggests Criminally Charging Republican Legislators for Meeting With Trump,
politics_filtered_nov19,"Georgia recount complete, and Biden is still the winner",
conservative_filtered_nov19,Trump Admin Brings Hammer Down on 'Anti-Semitic' Movement Targeting Israel,
politics_filtered_nov19,Rudy Giuliani straight-up asked a federal judge to ignore Pennsylvania voters and declare Trump won the state,
