,Unnamed: 0,coding,group,title,score
85,85,4.0,conservative_filtered_nov19,Atlanta Mayor Suggests Trump Would ‘Eat His Own Children’ To Advance Agenda | The Daily Wire,34
86,86,5.0,politics_filtered_nov19,"If Biden Forgives First $20K of Student Loans, It Erases Debt For 55% of Borrowers",496
87,87,2.0,politics_filtered_nov20,"Joe Biden wins presidential race in Georgia, defeating Trump.",2816
88,88,5.0,politics_filtered_nov20,Ilhan Omar to President-elect Biden: Seize 'Once-in-a-Generation' Chance to End Disastrous US Foreign Policy,43
89,89,4.0,politics_filtered_nov19,Trump's legal adviser Jenna Ellis in 2016 called him an 'idiot' and said his supporters didn't care about 'facts or logic',11318
90,90,4.0,politics_filtered_nov21,"In 'Tremendous Rebuke' of Trump Appointee, Federal Judge Bars US Media Agency Head From Interfering in News Coverage | ""Michael Pack has repeatedly and intentionally violated the First Amendment rights of VOA journalists.""",846
91,91,4.0,politics_filtered_nov20,"Trump Thought His Secretive Sister Finally Joined MAGA Twitter. So We Called Her. -“I’m trying to delete it,” a woman who identified herself as Trump’s sister said. “I’m just annoyed about this whole thing.”",133
92,92,3.0,politics_filtered_nov20,More GOP Senators Have COVID Than Have Acknowledged That Joe Biden Won,1477
93,93,3.0,conservative_filtered_nov21,Trump Campaign Fact-Checks the Media: Georgia Has Not Certified Biden's Win,77
94,94,7.0,politics_filtered_nov20,"Once Out Of Office, Trump Faces Significant Legal Peril",304
95,95,3.0,conservative_filtered_nov19,"Half of Republicans in new poll say election was 'rigged,' stolen from Trump",1650
96,96,3.0,conservative_filtered_nov21,Joe Biden stays silent over proposed meeting with BLM founder,83
97,97,3.0,conservative_filtered_nov20,A Poll was released this morning trying to track trends into 2024 and the majority of deceased voters say they will vote again for Biden.,265
98,98,3.0,politics_filtered_nov21,"Trump Is Still Raging Against Democracy. But It’s Time To Applaud The Tenacity Of Voters, Poll And USPS Workers",5100
99,99,4.0,conservative_filtered_nov19,Joy Reid vs. Fmr. Trump Aide: How Do You Reconcile Being A Black Man In This Country And A Republican?,17
100,100,5.0,conservative_filtered_nov19,"Biden Hires Pharma, Big Oil People To Fill His Administration After Claiming He Would Be Tough On Those Industries",833
101,101,6.0,politics_filtered_nov21,"After Trump meeting, Michigan GOP lawmakers affirmed Biden will win the state and urged Trump to focus on the COVID-19 pandemic currently ravaging the US",1226
102,102,3.0,politics_filtered_nov20,Joe Scarborough Lays Down Ultimatum To Mitch McConnell Over Trump Support,257
103,103,6.0,politics_filtered_nov19,Health Experts Demand GSA Chief Stop Holding Up Biden’s Transition As COVID Cases Surge,391
104,104,3.0,politics_filtered_nov19,Michigan Republican who balked at certifying election results says Trump called her,3238
105,105,8.0,conservative_filtered_nov21,"New Senate report purportedly 'confirms' Biden family's business ties to Chinese, Russian governments",444
106,106,2.0,politics_filtered_nov20,Joe Biden confirmed as winner in Georgia after hand recount results announced,4230
107,107,3.0,politics_filtered_nov21,Hoyer on Trump election challenges: 'I think this borders on treason',19925
108,108,4.0,conservative_filtered_nov19,The Hill’s Joe Concha Takes Blowtorch to Pro-Biden ‘Marshmallow Media’,17
109,109,4.0,politics_filtered_nov21,"NJ Democrat Calls for Rudy Giuliani, Other Trump Attorneys to be Disbarred",49868
110,110,5.0,politics_filtered_nov21,Trump wanted to bomb Iran — and still could — leaving Biden to pick up the pieces,137
111,111,6.0,conservative_filtered_nov21,Donald Trump: ‘Big Pharma’ Purposely Delayed Coronavirus Vaccine Until After Election,61
112,112,3.0,conservative_filtered_nov20,"If Biden Can Take Power by Fraud, Our Republic Has Abolished Itself",547
113,113,3.0,politics_filtered_nov19,Ernst: Trump lawyer claim that candidates pay to rig elections 'absolutely outrageous',114
114,114,4.0,politics_filtered_nov21,Bernie Sanders says the 'GOP has ceased to be a political party' and 'is now a cult' for staying silent on Trump's election attacks,68201
115,115,2.0,politics_filtered_nov19,Election results: Joe Biden approaches 80 million votes in historic victory,3236
116,116,5.0,politics_filtered_nov21,Trump tells G20 leaders he wants to work with them ‘for a long time’,37
117,117,8.0,politics_filtered_nov19,"Trump Should Quit and 'Not Be Embarrassing,' Says Czech President, Who Was an Early Trump Ally",165
118,118,5.0,politics_filtered_nov21,"Two weeks after Biden named President-elect, Trump faces stinging setbacks",117
119,119,3.0,conservative_filtered_nov20,Giuliani: 'Massive Fraud' Used to Steal Election From Trump,663
120,120,4.0,politics_filtered_nov19,Trump advisers reportedly think Rudy Giuliani is encouraging election lawsuits so he can get paid,663
121,121,2.0,politics_filtered_nov20,Georgia Secretary of State to certify election for Biden,12056
122,122,5.0,politics_filtered_nov21,Biden to Work to End Executions as Government Sets 3 More,239
123,123,3.0,politics_filtered_nov19,Biden nears record 80m votes as Trump persists in trying to overturn result,198
124,124,4.0,politics_filtered_nov19,‘It’s Time for the State Bars to Come Get Their People’: Lawyers Eviscerate Trump Campaign’s ‘Nonsensical’ Press Conference,1125
125,125,4.0,politics_filtered_nov20,Discussion Thread: President-Elect Joe Biden Gives Remarks After Meeting with Governors,4825
126,126,2.0,politics_filtered_nov19,Trump Loses Georgia Again. Audit Confirms President-Elect Joe Biden Wins Goergia.,50
127,127,4.0,politics_filtered_nov21,Judge rules against Trump global media chief after firings,217
128,128,3.0,conservative_filtered_nov20,"3rd monitor, a Democrat: ""Hundreds of these ballots seemed impeccable, with no folds or creases. The bubble selections were perfectly made ... only observed selections in black ink, and all happened to be selections for Biden.""",1530
129,129,5.0,politics_filtered_nov19,"Biden looks to rehire diplomats, others fired by Trump to rebuild State Department",6573
130,130,3.0,conservative_filtered_nov21,Federal Election Commission Chair: Trump Campaign Has Legitimate Claims of Election Fraud,0
131,131,5.0,politics_filtered_nov21,"After Years of Watching ‘Trump Show,’ TV News Starts to Turn it Off",2486
132,132,5.0,politics_filtered_nov20,Don't ignore Trump's election mischief. Take it seriously,465
133,133,1.0,conservative_filtered_nov20,Obama Tells Jimmy Kimmel: 'We Can Always Send the Navy SEALS' to Remove Trump from White House,100
134,134,5.0,politics_filtered_nov19,"Trump will lose his 'world leader' Twitter privileges on January 20, Jack Dorsey confirms — meaning he could get banned just like everyone else",23838
135,135,4.0,politics_filtered_nov21,Judge rules against Trump global media chief after firings,128
136,136,4.0,conservative_filtered_nov19,"When Proven Liars Say Trump's Chances Are Slim, It's Time to Listen to Honest Folk Who Know the Score Instead",26
137,137,3.0,conservative_filtered_nov21,Biden says in video he has created 'voter fraud organization',28
138,138,4.0,politics_filtered_nov21,Latinas for Trump founder unseated Florida Democrat after seeing ‘shadow candidate’ enter race,207
139,139,4.0,politics_filtered_nov19,Calls for Trump ally Lindsey Graham to resign over Georgia phone call,68968
140,140,3.0,politics_filtered_nov19,Trump campaign is 1-29 in post-election lawsuits after latest defeat,488
141,141,4.0,politics_filtered_nov19,"'People Need Help': AOC Slams Trump's Economic Adviser for Saying Stimulus Not Needed, Economy's Doing Fine",4442
142,142,1.0,politics_filtered_nov19,Does Trump realize he only has until January 20th 2021 to leave the White House?,84
143,143,4.0,politics_filtered_nov19,A new #Resistance hero emerges amid the Trump endgame: The dutiful civil servant,3322
144,144,1.0,conservative_filtered_nov21,Twitter Plans To Hand @POTUS Handle Over To Biden On Jan. 20 No Matter What,8
145,145,3.0,politics_filtered_nov19,Giuliani Alleges a Vast International Conspiracy to Steal the Election From Trump,132
146,146,3.0,politics_filtered_nov21,Wisconsin officials: Trump observers obstructing recount,1313
147,147,3.0,politics_filtered_nov21,"Analysis: With silence, GOP enables Trump's risky endgame",130
148,148,4.0,politics_filtered_nov21,AP Fact Check: Trump's flailing effort resting on mendacity,108
149,149,5.0,conservative_filtered_nov19,Biden Wants Billions in Taxes from Firearms Owners,17
150,150,4.0,politics_filtered_nov21,GOP Michigan ex-governor says state board will certify Biden winner over 'bully' Trump,1732
151,151,2.0,politics_filtered_nov19,"Trump faces likely setback in Georgia recount, drops Michigan lawsuit",131
152,152,4.0,politics_filtered_nov21,"Joe Biden Owes His Victory to the Left. Organizers, not consultants, delivered key states like Pennsylvania, Arizona and Georgia.",3581
153,153,4.0,politics_filtered_nov20,"Biden brushes aside Trump attempts to overturn the election, confident his victory will stand",92
154,154,3.0,politics_filtered_nov21,Nancy Pelosi calls Trump a 'psychopathic nut' as the president continues to try to overturn the election results,14572
155,155,3.0,conservative_filtered_nov20,Trump Campaign Fact-Checks the Media: Georgia Has Not Certified Biden's Win,37
156,156,4.0,politics_filtered_nov19,Trump is trying to disenfranchise Black voters. The GOP isn’t stopping him.,389
157,157,6.0,conservative_filtered_nov20,Biden Says He Discussed National Mask Mandate With Governors During Meeting,0
158,158,3.0,conservative_filtered_nov21,"McEnany: Trump's path to victory is Supreme Court, exposing 'systemic' voter fraud",50
159,159,3.0,conservative_filtered_nov21,Trump Objects to Counting Thousands of Wisconsin Ballots,8
160,160,1.0,politics_filtered_nov21,Obama jokes that Navy SEALs could remove Trump from the White House,228
161,161,4.0,politics_filtered_nov20,"Happy birthday, Joe: 78-year-old Biden to be oldest US president to take office",328
162,162,3.0,politics_filtered_nov20,Bob Corker: Republicans ‘have an obligation’ to challenge Trump’s voter fraud allegations,496
163,163,3.0,conservative_filtered_nov20,"TRUMP: Biden receives a dump of 143,379 votes at 3:42AM a day after the election",1978
164,164,4.0,politics_filtered_nov19,"Trump canceled his annual plan to spend Thanksgiving at Mar-a-Lago, as aides describe a 'bunker mentality' at the White House",7893
165,165,4.0,politics_filtered_nov19,Biden Urged to Make Haaland First Native American in Cabinet,110
166,166,3.0,politics_filtered_nov19,Trump Tries Desperate And Damaging New Tack As He Refuses To Accept Loss,967
167,167,8.0,conservative_filtered_nov19,Tevi Troy: When Senator Biden lectured Israeli Prime Minister Begin over settlements,1
168,168,4.0,politics_filtered_nov21,Trump Takes Another L: Michigan GOPers Say No To Election Steal,7115
169,169,4.0,politics_filtered_nov21,Election 2020 updates: Michigan GOP Speaker Chatfield drinks at Trump Hotel; Carson was 'desperately ill' from COVID,58
170,170,3.0,politics_filtered_nov20,‘Undemocratic’: Romney Rebukes Trump Effort To Overturn Will Of Michigan Voters,118
171,171,4.0,politics_filtered_nov20,'Integrity matters': Meet the lone Republican election official standing up to his party and Trump,13514
172,172,3.0,politics_filtered_nov19,Trump’s Campaign Dropped Another Lawsuit And Lied About Stopping Detroit From Certifying Votes,152
173,173,8.0,politics_filtered_nov20,Business Leaders to Trump: Give It Up,200
174,174,4.0,politics_filtered_nov19,This Is the Most Pathetic Trump Fundraising Email Yet,377
175,175,4.0,politics_filtered_nov20,Apparently Not Even Jared and Ivanka Think Trump's Election Scam Is Going Anywhere,174
176,176,5.0,conservative_filtered_nov20,Biden Deputy Chief of Staff Pushed 'Mandatory' Firearm Buybacks,25
177,177,3.0,politics_filtered_nov20,Trump to meet Michigan lawmakers in bid to overturn electoral defeat,164
178,178,2.0,conservative_filtered_nov21,Donald Trump Improved Standing With Latinos In 78 Of America’s 100 Majority-Hispanic Counties,142
179,179,4.0,politics_filtered_nov21,Kayleigh McEnany’s Latest Trump Lie Is Firmly Debunked In Viral Video,7534
180,180,3.0,politics_filtered_nov20,Trump's legal team seemingly didn't notice its allegation of election fraud in Michigan is based on data from Minnesota,876
181,181,4.0,politics_filtered_nov19,Republicans Confirm Another One Of Trump's Unqualified Court Picks,374
182,182,5.0,politics_filtered_nov21,The Danger (and Ineptitude) of Trump’s Failed Coup,558
183,183,4.0,politics_filtered_nov19,YouTube Is Cashing In on Trump's Election Conspiracy During Giuliani Livestream,235
184,184,3.0,politics_filtered_nov19,Trump called Michigan Republicans before they sought to rescind their certification of votes,625
185,185,4.0,politics_filtered_nov19,Obama says Republicans officials going along with Trump's unfounded claims because they're 'intimidated',333
186,186,4.0,politics_filtered_nov20,Nancy Pelosi calls Trump a 'psychopathic nut' as the president continues to try to overturn the election results,261
187,187,5.0,conservative_filtered_nov21,National Democratic Party official suggests re-education for Trump supporters: 'How do you deprogram 75 million people?',57
188,188,2.0,conservative_filtered_nov20,BREAKING: Georgia manual recount confirms Biden victory,22263
189,189,4.0,conservative_filtered_nov19,Romney: Surprising People Believe Trump's Fraud Claims,179
190,190,3.0,conservative_filtered_nov19,9 Key Points from Trump Campaign Press Conference on Challenges to Election Results,91
191,191,3.0,politics_filtered_nov21,Trump skips G20 coronavirus meeting to play golf and tweet bogus election claims,492
192,192,7.0,politics_filtered_nov21,"Voice of America's 5 Months Under Trump CEO: Lawsuits, Bias Claims, And A Sex Scandal",390
193,193,4.0,politics_filtered_nov19,Atlanta mayor: Trump would 'eat his own children' if it helped him,956
194,194,1.0,politics_filtered_nov21,Twitter will give @POTUS handle to Joe Biden on Inauguration Day,329
195,195,4.0,conservative_filtered_nov20,Trump Campaign Advisor Boris Epshteyn: Reporters 'Taken Aback' by Evidence Presented By Trump's Lawyers,91
196,196,4.0,politics_filtered_nov20,"House Democrats tell GSA chief her refusal to certify Biden's win is ""having grave effects""",827
197,197,3.0,conservative_filtered_nov19,"Can We Say Again? Third County in Georgia Finds More Missing Votes, Most for Trump",1870
198,198,1.0,conservative_filtered_nov21,Obama Tells Jimmy Kimmel: 'We Can Always Send the Navy SEALS' to Remove Trump from White House,222
199,199,4.0,politics_filtered_nov21,"Meet Pennsylvania’s anger translator, and Donald Trump’s worst nightmare",11505
200,200,2.0,politics_filtered_nov20,US election 2020: Biden wins Georgia recount as Trump setbacks mount,120
201,201,8.0,politics_filtered_nov21,Biden faces a race against the clock for U.S. to rejoin Iran nuclear deal | KTAB,49
202,202,4.0,politics_filtered_nov21,"After Trump meeting, Michigan GOP lawmakers say they’re not aware of any info that would change Biden’s victory in state",26068
203,203,4.0,conservative_filtered_nov21,Trump Legal Adviser Jenna Ellis Rips Media: ‘You Are Not Unbiased Jurors’,150
204,204,3.0,conservative_filtered_nov19,"Lin Wood loses motion to stop certification, Trump vows to file another ‘major lawsuit’ against Georgia election",86
205,205,4.0,politics_filtered_nov19,‘Dead Man Walking’ nun says Trump administration trying to rush through executions in ‘shameful killing spree’,3505
206,206,5.0,politics_filtered_nov19,Facebook might stop people seeing Trump’s posts in 2021,160
207,207,4.0,politics_filtered_nov20,'Call His Bluff': Edward Norton's Viral Message On Trump,715
208,208,2.0,politics_filtered_nov21,Biden's lead over Trump surpasses 6M votes as more ballots are tallied,16190
209,209,4.0,politics_filtered_nov19,Trump's election lawsuits plagued by elementary errors,185
210,210,4.0,politics_filtered_nov21,Where and why President Trump’s election challenges are falling flat in court: explainer,87
211,211,4.0,politics_filtered_nov19,A hot mess: Rudy Giuliani defends President Trump by attacking Eagles fans while literally melting down on live TV,213
212,212,4.0,politics_filtered_nov19,"AP Explains Calling Arizona For Biden Early, Before It Got Very Close",88
213,213,4.0,politics_filtered_nov20,Trump to Host Michigan Lawmakers Despite Bipartisan Outcry,245
214,214,6.0,conservative_filtered_nov20,Biden declares there will be 'no national shutdown',35
215,215,3.0,politics_filtered_nov19,Trump campaign drops Michigan lawsuit: statement,277
216,216,8.0,politics_filtered_nov21,Biden faces a race against the clock for U.S. to rejoin Iran nuclear deal,51
217,217,2.0,politics_filtered_nov21,Biden's margin of victory over Trump surpasses 6 million votes,18999
218,218,3.0,politics_filtered_nov21,Trump admits Michigan Congressmen met to discuss coup,22083
219,219,7.0,politics_filtered_nov20,New York authorities investigating millions in tax write-offs from the Trump Organization,15249
220,220,4.0,politics_filtered_nov20,"Edward Norton Lays Out Trump's ""Desperate Endgame"" Using Metaphor of Failed Poker Hand — ""The core of it is that he knows he’s in deep, multi-dimensional legal jeopardy and this defines his every action,"" says the actor.",266
221,221,8.0,conservative_filtered_nov19,Senate investigators: New records 'confirm' troubling Biden family links to China and Russia,151
222,222,2.0,politics_filtered_nov19,Georgia presidential hand tally finished; affirms Biden's lead over Trump,50
223,223,3.0,politics_filtered_nov21,"Battered by setbacks in push to reverse Biden win, Trump persists with fraud claims",124
224,224,4.0,politics_filtered_nov20,Trump’s Lawyer Sidney Powell Is Hardcore QAnon: Her performance at Thursday's press conference was virtually a recitation of QAnon’s greatest hits.,2282
225,225,4.0,conservative_filtered_nov19,'They want Kamala in there tomorrow': Limbaugh says Dems to dump Biden -- 'They have no intention of this guy serving a full 4-year term',944
226,226,5.0,politics_filtered_nov19,Texas Republican Rep. Will Hurd shames Trump for firing cybersecurity chief Christopher Krebs,272
227,227,6.0,politics_filtered_nov21,‘My Frustration Turned Into Anger.’ Some Americans Who Lost Family Members to COVID-19 Have Turned Against Donald Trump,228
228,228,4.0,politics_filtered_nov19,"What has Donald Trump been doing since the US election loss? Tweeting, golfing and watching TV, apparently",597
229,229,5.0,politics_filtered_nov20,Joe Biden and Kamala Harris honour the 37 trans Americans murdered this year with vow to end epidemic of violence,231
230,230,7.0,politics_filtered_nov20,NY probes Trump consulting payments that reduced his taxes,1082
231,231,2.0,politics_filtered_nov20,Georgia Secretary of State to certify election for Biden,1382
232,232,4.0,politics_filtered_nov20,"In Georgia, get-out-the-vote operations that helped Biden win haven’t stopped",2556
233,233,2.0,conservative_filtered_nov19,BREAKING: Georgia manual recount confirms Biden victory,58
234,234,5.0,conservative_filtered_nov20,[Not Satire] National Democratic Party official suggests re-education for Trump supporters: 'How do you deprogram 75 million people?',1005
235,235,5.0,politics_filtered_nov21,NAACP Federal Suit: Trump Violated Voting Rights Act,3852
236,236,3.0,politics_filtered_nov20,Trump is trying to overturn an election he didn't win. We didn't get here by accident,54
237,237,2.0,politics_filtered_nov19,Georgia official: Vote audit over; Biden still leads Trump,156
238,238,4.0,politics_filtered_nov21,Biden Must Keep His Word and Allow Investigations of Trump to Proceed,22942
239,239,2.0,politics_filtered_nov21,"After Trump meeting, Michigan GOP leaders say Biden's win still stands",7507
240,240,3.0,politics_filtered_nov19,Trump is trying to stop local officials in key swing states from certifying election results in a last-ditch effort to block Biden,1579
241,241,5.0,politics_filtered_nov21,Merrick Garland is being considered for Attorney General in the Biden administration,499
242,242,1.0,conservative_filtered_nov20,"Kavanaugh should face new investigation, Biden transition official Barbara McQuade wrote",6
243,243,4.0,politics_filtered_nov21,Judge bars Trump appointee from interfering in Voice of America,266
244,244,4.0,politics_filtered_nov20,"Giuliani, Trump Legal Team Melt Down In Insane Presser",4078
245,245,4.0,politics_filtered_nov19,Trump unlikely to get census data in time to exclude undocumented from representation,88
246,246,4.0,conservative_filtered_nov20,About 73% Biden Vote Margin Gain in PA from Areas Given $18 Million by Zuckerberg-Funded ‘Safe Elections’ Project,10
