,coding,group,title
95,3.0,conservative_filtered_nov19,"Half of Republicans in new poll say election was 'rigged,' stolen from Trump"
96,3.0,conservative_filtered_nov21,Joe Biden stays silent over proposed meeting with BLM founder
97,3.0,conservative_filtered_nov20,A Poll was released this morning trying to track trends into 2024 and the majority of deceased voters say they will vote again for Biden.
98,3.0,politics_filtered_nov21,"Trump Is Still Raging Against Democracy. But It’s Time To Applaud The Tenacity Of Voters, Poll And USPS Workers"
99,4.0,conservative_filtered_nov19,Joy Reid vs. Fmr. Trump Aide: How Do You Reconcile Being A Black Man In This Country And A Republican?
100,5.0,conservative_filtered_nov19,"Biden Hires Pharma, Big Oil People To Fill His Administration After Claiming He Would Be Tough On Those Industries"
101,6.0,politics_filtered_nov21,"After Trump meeting, Michigan GOP lawmakers affirmed Biden will win the state and urged Trump to focus on the COVID-19 pandemic currently ravaging the US"
102,3.0,politics_filtered_nov20,Joe Scarborough Lays Down Ultimatum To Mitch McConnell Over Trump Support
103,6.0,politics_filtered_nov19,Health Experts Demand GSA Chief Stop Holding Up Biden’s Transition As COVID Cases Surge
104,3.0,politics_filtered_nov19,Michigan Republican who balked at certifying election results says Trump called her
105,8.0,conservative_filtered_nov21,"New Senate report purportedly 'confirms' Biden family's business ties to Chinese, Russian governments"
106,2.0,politics_filtered_nov20,Joe Biden confirmed as winner in Georgia after hand recount results announced
107,3.0,politics_filtered_nov21,Hoyer on Trump election challenges: 'I think this borders on treason'
108,4.0,conservative_filtered_nov19,The Hill’s Joe Concha Takes Blowtorch to Pro-Biden ‘Marshmallow Media’
109,4.0,politics_filtered_nov21,"NJ Democrat Calls for Rudy Giuliani, Other Trump Attorneys to be Disbarred"
110,5.0,politics_filtered_nov21,Trump wanted to bomb Iran — and still could — leaving Biden to pick up the pieces
111,6.0,conservative_filtered_nov21,Donald Trump: ‘Big Pharma’ Purposely Delayed Coronavirus Vaccine Until After Election
112,3.0,conservative_filtered_nov20,"If Biden Can Take Power by Fraud, Our Republic Has Abolished Itself"
113,3.0,politics_filtered_nov19,Ernst: Trump lawyer claim that candidates pay to rig elections 'absolutely outrageous'
114,4.0,politics_filtered_nov21,Bernie Sanders says the 'GOP has ceased to be a political party' and 'is now a cult' for staying silent on Trump's election attacks
115,2.0,politics_filtered_nov19,Election results: Joe Biden approaches 80 million votes in historic victory
116,5.0,politics_filtered_nov21,Trump tells G20 leaders he wants to work with them ‘for a long time’
117,8.0,politics_filtered_nov19,"Trump Should Quit and 'Not Be Embarrassing,' Says Czech President, Who Was an Early Trump Ally"
118,5.0,politics_filtered_nov21,"Two weeks after Biden named President-elect, Trump faces stinging setbacks"
119,3.0,conservative_filtered_nov20,Giuliani: 'Massive Fraud' Used to Steal Election From Trump
120,4.0,politics_filtered_nov19,Trump advisers reportedly think Rudy Giuliani is encouraging election lawsuits so he can get paid
121,2.0,politics_filtered_nov20,Georgia Secretary of State to certify election for Biden
122,5.0,politics_filtered_nov21,Biden to Work to End Executions as Government Sets 3 More
123,3.0,politics_filtered_nov19,Biden nears record 80m votes as Trump persists in trying to overturn result
124,4.0,politics_filtered_nov19,‘It’s Time for the State Bars to Come Get Their People’: Lawyers Eviscerate Trump Campaign’s ‘Nonsensical’ Press Conference
125,4.0,politics_filtered_nov20,Discussion Thread: President-Elect Joe Biden Gives Remarks After Meeting with Governors
126,2.0,politics_filtered_nov19,Trump Loses Georgia Again. Audit Confirms President-Elect Joe Biden Wins Goergia.
127,4.0,politics_filtered_nov21,Judge rules against Trump global media chief after firings
128,3.0,conservative_filtered_nov20,"3rd monitor, a Democrat: ""Hundreds of these ballots seemed impeccable, with no folds or creases. The bubble selections were perfectly made ... only observed selections in black ink, and all happened to be selections for Biden."""
129,5.0,politics_filtered_nov19,"Biden looks to rehire diplomats, others fired by Trump to rebuild State Department"
130,3.0,conservative_filtered_nov21,Federal Election Commission Chair: Trump Campaign Has Legitimate Claims of Election Fraud
131,5.0,politics_filtered_nov21,"After Years of Watching ‘Trump Show,’ TV News Starts to Turn it Off"
132,5.0,politics_filtered_nov20,Don't ignore Trump's election mischief. Take it seriously
133,1.0,conservative_filtered_nov20,Obama Tells Jimmy Kimmel: 'We Can Always Send the Navy SEALS' to Remove Trump from White House
134,5.0,politics_filtered_nov19,"Trump will lose his 'world leader' Twitter privileges on January 20, Jack Dorsey confirms — meaning he could get banned just like everyone else"
135,4.0,politics_filtered_nov21,Judge rules against Trump global media chief after firings
136,4.0,conservative_filtered_nov19,"When Proven Liars Say Trump's Chances Are Slim, It's Time to Listen to Honest Folk Who Know the Score Instead"
137,3.0,conservative_filtered_nov21,Biden says in video he has created 'voter fraud organization'
138,4.0,politics_filtered_nov21,Latinas for Trump founder unseated Florida Democrat after seeing ‘shadow candidate’ enter race
139,4.0,politics_filtered_nov19,Calls for Trump ally Lindsey Graham to resign over Georgia phone call
140,3.0,politics_filtered_nov19,Trump campaign is 1-29 in post-election lawsuits after latest defeat
141,4.0,politics_filtered_nov19,"'People Need Help': AOC Slams Trump's Economic Adviser for Saying Stimulus Not Needed, Economy's Doing Fine"
142,1.0,politics_filtered_nov19,Does Trump realize he only has until January 20th 2021 to leave the White House?
143,4.0,politics_filtered_nov19,A new #Resistance hero emerges amid the Trump endgame: The dutiful civil servant
144,1.0,conservative_filtered_nov21,Twitter Plans To Hand @POTUS Handle Over To Biden On Jan. 20 No Matter What
145,3.0,politics_filtered_nov19,Giuliani Alleges a Vast International Conspiracy to Steal the Election From Trump
146,3.0,politics_filtered_nov21,Wisconsin officials: Trump observers obstructing recount
147,3.0,politics_filtered_nov21,"Analysis: With silence, GOP enables Trump's risky endgame"
148,4.0,politics_filtered_nov21,AP Fact Check: Trump's flailing effort resting on mendacity
149,5.0,conservative_filtered_nov19,Biden Wants Billions in Taxes from Firearms Owners
150,4.0,politics_filtered_nov21,GOP Michigan ex-governor says state board will certify Biden winner over 'bully' Trump
151,2.0,politics_filtered_nov19,"Trump faces likely setback in Georgia recount, drops Michigan lawsuit"
152,4.0,politics_filtered_nov21,"Joe Biden Owes His Victory to the Left. Organizers, not consultants, delivered key states like Pennsylvania, Arizona and Georgia."
153,4.0,politics_filtered_nov20,"Biden brushes aside Trump attempts to overturn the election, confident his victory will stand"
154,3.0,politics_filtered_nov21,Nancy Pelosi calls Trump a 'psychopathic nut' as the president continues to try to overturn the election results
155,3.0,conservative_filtered_nov20,Trump Campaign Fact-Checks the Media: Georgia Has Not Certified Biden's Win
156,4.0,politics_filtered_nov19,Trump is trying to disenfranchise Black voters. The GOP isn’t stopping him.
157,6.0,conservative_filtered_nov20,Biden Says He Discussed National Mask Mandate With Governors During Meeting
158,3.0,conservative_filtered_nov21,"McEnany: Trump's path to victory is Supreme Court, exposing 'systemic' voter fraud"
159,3.0,conservative_filtered_nov21,Trump Objects to Counting Thousands of Wisconsin Ballots
160,1.0,politics_filtered_nov21,Obama jokes that Navy SEALs could remove Trump from the White House
161,4.0,politics_filtered_nov20,"Happy birthday, Joe: 78-year-old Biden to be oldest US president to take office"
162,3.0,politics_filtered_nov20,Bob Corker: Republicans ‘have an obligation’ to challenge Trump’s voter fraud allegations
163,3.0,conservative_filtered_nov20,"TRUMP: Biden receives a dump of 143,379 votes at 3:42AM a day after the election"
164,4.0,politics_filtered_nov19,"Trump canceled his annual plan to spend Thanksgiving at Mar-a-Lago, as aides describe a 'bunker mentality' at the White House"
165,4.0,politics_filtered_nov19,Biden Urged to Make Haaland First Native American in Cabinet
166,3.0,politics_filtered_nov19,Trump Tries Desperate And Damaging New Tack As He Refuses To Accept Loss
167,8.0,conservative_filtered_nov19,Tevi Troy: When Senator Biden lectured Israeli Prime Minister Begin over settlements
168,4.0,politics_filtered_nov21,Trump Takes Another L: Michigan GOPers Say No To Election Steal
169,4.0,politics_filtered_nov21,Election 2020 updates: Michigan GOP Speaker Chatfield drinks at Trump Hotel; Carson was 'desperately ill' from COVID
170,3.0,politics_filtered_nov20,‘Undemocratic’: Romney Rebukes Trump Effort To Overturn Will Of Michigan Voters
171,4.0,politics_filtered_nov20,'Integrity matters': Meet the lone Republican election official standing up to his party and Trump
172,3.0,politics_filtered_nov19,Trump’s Campaign Dropped Another Lawsuit And Lied About Stopping Detroit From Certifying Votes
173,8.0,politics_filtered_nov20,Business Leaders to Trump: Give It Up
174,4.0,politics_filtered_nov19,This Is the Most Pathetic Trump Fundraising Email Yet
175,4.0,politics_filtered_nov20,Apparently Not Even Jared and Ivanka Think Trump's Election Scam Is Going Anywhere
176,5.0,conservative_filtered_nov20,Biden Deputy Chief of Staff Pushed 'Mandatory' Firearm Buybacks
177,3.0,politics_filtered_nov20,Trump to meet Michigan lawmakers in bid to overturn electoral defeat
178,2.0,conservative_filtered_nov21,Donald Trump Improved Standing With Latinos In 78 Of America’s 100 Majority-Hispanic Counties
179,4.0,politics_filtered_nov21,Kayleigh McEnany’s Latest Trump Lie Is Firmly Debunked In Viral Video
180,3.0,politics_filtered_nov20,Trump's legal team seemingly didn't notice its allegation of election fraud in Michigan is based on data from Minnesota
181,4.0,politics_filtered_nov19,Republicans Confirm Another One Of Trump's Unqualified Court Picks
182,5.0,politics_filtered_nov21,The Danger (and Ineptitude) of Trump’s Failed Coup
183,4.0,politics_filtered_nov19,YouTube Is Cashing In on Trump's Election Conspiracy During Giuliani Livestream
184,3.0,politics_filtered_nov19,Trump called Michigan Republicans before they sought to rescind their certification of votes
185,4.0,politics_filtered_nov19,Obama says Republicans officials going along with Trump's unfounded claims because they're 'intimidated'
186,4.0,politics_filtered_nov20,Nancy Pelosi calls Trump a 'psychopathic nut' as the president continues to try to overturn the election results
187,5.0,conservative_filtered_nov21,National Democratic Party official suggests re-education for Trump supporters: 'How do you deprogram 75 million people?'
188,2.0,conservative_filtered_nov20,BREAKING: Georgia manual recount confirms Biden victory
189,4.0,conservative_filtered_nov19,Romney: Surprising People Believe Trump's Fraud Claims
190,3.0,conservative_filtered_nov19,9 Key Points from Trump Campaign Press Conference on Challenges to Election Results
191,3.0,politics_filtered_nov21,Trump skips G20 coronavirus meeting to play golf and tweet bogus election claims
192,7.0,politics_filtered_nov21,"Voice of America's 5 Months Under Trump CEO: Lawsuits, Bias Claims, And A Sex Scandal"
193,4.0,politics_filtered_nov19,Atlanta mayor: Trump would 'eat his own children' if it helped him
194,1.0,politics_filtered_nov21,Twitter will give @POTUS handle to Joe Biden on Inauguration Day
195,4.0,conservative_filtered_nov20,Trump Campaign Advisor Boris Epshteyn: Reporters 'Taken Aback' by Evidence Presented By Trump's Lawyers
196,4.0,politics_filtered_nov20,"House Democrats tell GSA chief her refusal to certify Biden's win is ""having grave effects"""
197,3.0,conservative_filtered_nov19,"Can We Say Again? Third County in Georgia Finds More Missing Votes, Most for Trump"
198,1.0,conservative_filtered_nov21,Obama Tells Jimmy Kimmel: 'We Can Always Send the Navy SEALS' to Remove Trump from White House
199,4.0,politics_filtered_nov21,"Meet Pennsylvania’s anger translator, and Donald Trump’s worst nightmare"
200,2.0,politics_filtered_nov20,US election 2020: Biden wins Georgia recount as Trump setbacks mount
201,8.0,politics_filtered_nov21,Biden faces a race against the clock for U.S. to rejoin Iran nuclear deal | KTAB
202,4.0,politics_filtered_nov21,"After Trump meeting, Michigan GOP lawmakers say they’re not aware of any info that would change Biden’s victory in state"
203,4.0,conservative_filtered_nov21,Trump Legal Adviser Jenna Ellis Rips Media: ‘You Are Not Unbiased Jurors’
204,3.0,conservative_filtered_nov19,"Lin Wood loses motion to stop certification, Trump vows to file another ‘major lawsuit’ against Georgia election"
205,4.0,politics_filtered_nov19,‘Dead Man Walking’ nun says Trump administration trying to rush through executions in ‘shameful killing spree’
206,5.0,politics_filtered_nov19,Facebook might stop people seeing Trump’s posts in 2021
207,4.0,politics_filtered_nov20,'Call His Bluff': Edward Norton's Viral Message On Trump
208,2.0,politics_filtered_nov21,Biden's lead over Trump surpasses 6M votes as more ballots are tallied
209,4.0,politics_filtered_nov19,Trump's election lawsuits plagued by elementary errors
210,4.0,politics_filtered_nov21,Where and why President Trump’s election challenges are falling flat in court: explainer
211,4.0,politics_filtered_nov19,A hot mess: Rudy Giuliani defends President Trump by attacking Eagles fans while literally melting down on live TV
212,4.0,politics_filtered_nov19,"AP Explains Calling Arizona For Biden Early, Before It Got Very Close"
213,4.0,politics_filtered_nov20,Trump to Host Michigan Lawmakers Despite Bipartisan Outcry
214,6.0,conservative_filtered_nov20,Biden declares there will be 'no national shutdown'
215,3.0,politics_filtered_nov19,Trump campaign drops Michigan lawsuit: statement
216,8.0,politics_filtered_nov21,Biden faces a race against the clock for U.S. to rejoin Iran nuclear deal
217,2.0,politics_filtered_nov21,Biden's margin of victory over Trump surpasses 6 million votes
218,3.0,politics_filtered_nov21,Trump admits Michigan Congressmen met to discuss coup
219,7.0,politics_filtered_nov20,New York authorities investigating millions in tax write-offs from the Trump Organization
220,4.0,politics_filtered_nov20,"Edward Norton Lays Out Trump's ""Desperate Endgame"" Using Metaphor of Failed Poker Hand — ""The core of it is that he knows he’s in deep, multi-dimensional legal jeopardy and this defines his every action,"" says the actor."
221,8.0,conservative_filtered_nov19,Senate investigators: New records 'confirm' troubling Biden family links to China and Russia
222,2.0,politics_filtered_nov19,Georgia presidential hand tally finished; affirms Biden's lead over Trump
223,3.0,politics_filtered_nov21,"Battered by setbacks in push to reverse Biden win, Trump persists with fraud claims"
224,4.0,politics_filtered_nov20,Trump’s Lawyer Sidney Powell Is Hardcore QAnon: Her performance at Thursday's press conference was virtually a recitation of QAnon’s greatest hits.
225,4.0,conservative_filtered_nov19,'They want Kamala in there tomorrow': Limbaugh says Dems to dump Biden -- 'They have no intention of this guy serving a full 4-year term'
226,5.0,politics_filtered_nov19,Texas Republican Rep. Will Hurd shames Trump for firing cybersecurity chief Christopher Krebs
227,6.0,politics_filtered_nov21,‘My Frustration Turned Into Anger.’ Some Americans Who Lost Family Members to COVID-19 Have Turned Against Donald Trump
228,4.0,politics_filtered_nov19,"What has Donald Trump been doing since the US election loss? Tweeting, golfing and watching TV, apparently"
229,5.0,politics_filtered_nov20,Joe Biden and Kamala Harris honour the 37 trans Americans murdered this year with vow to end epidemic of violence
230,7.0,politics_filtered_nov20,NY probes Trump consulting payments that reduced his taxes
231,2.0,politics_filtered_nov20,Georgia Secretary of State to certify election for Biden
232,4.0,politics_filtered_nov20,"In Georgia, get-out-the-vote operations that helped Biden win haven’t stopped"
233,2.0,conservative_filtered_nov19,BREAKING: Georgia manual recount confirms Biden victory
234,5.0,conservative_filtered_nov20,[Not Satire] National Democratic Party official suggests re-education for Trump supporters: 'How do you deprogram 75 million people?'
235,5.0,politics_filtered_nov21,NAACP Federal Suit: Trump Violated Voting Rights Act
236,3.0,politics_filtered_nov20,Trump is trying to overturn an election he didn't win. We didn't get here by accident
237,2.0,politics_filtered_nov19,Georgia official: Vote audit over; Biden still leads Trump
238,4.0,politics_filtered_nov21,Biden Must Keep His Word and Allow Investigations of Trump to Proceed
239,2.0,politics_filtered_nov21,"After Trump meeting, Michigan GOP leaders say Biden's win still stands"
240,3.0,politics_filtered_nov19,Trump is trying to stop local officials in key swing states from certifying election results in a last-ditch effort to block Biden
241,5.0,politics_filtered_nov21,Merrick Garland is being considered for Attorney General in the Biden administration
242,1.0,conservative_filtered_nov20,"Kavanaugh should face new investigation, Biden transition official Barbara McQuade wrote"
243,4.0,politics_filtered_nov21,Judge bars Trump appointee from interfering in Voice of America
244,4.0,politics_filtered_nov20,"Giuliani, Trump Legal Team Melt Down In Insane Presser"
245,4.0,politics_filtered_nov19,Trump unlikely to get census data in time to exclude undocumented from representation
246,4.0,conservative_filtered_nov20,About 73% Biden Vote Margin Gain in PA from Areas Given $18 Million by Zuckerberg-Funded ‘Safe Elections’ Project
247,2.0,conservative_filtered_nov19,Audit Confirms President-Elect Biden Wins State of Georgia.
248,4.0,conservative_filtered_nov20,Tucker Carlson​ says Trump attorney Sidney Powell wouldn't provide him with any evidence of election fraud. Powell hits back.
249,4.0,politics_filtered_nov19,‘Blood On His Hands’: Mary Trump Says Her Uncle Must Be ‘Held To Account’ The president’s niece said he is “directly responsible for the deaths of thousands of Americans.
250,7.0,politics_filtered_nov20,Federal Judge Strikes DOJ from the Docket in E. Jean Carroll’s Case Against Donald Trump
251,3.0,conservative_filtered_nov19,"4th witness, also a Democrat saw perfect black marks on a stack of ballots ... 500 in a row all for Biden"
252,5.0,conservative_filtered_nov19,DNC Member Rants: ‘Deprogram’ 75 Million Trump Supporters
253,4.0,politics_filtered_nov20,Republicans aren't scared of the Trump &amp; Rudy show — they love this stuff. Republicans aren't staying quiet because they fear Trump — this clown-car coup has nothing but upside for them
254,4.0,politics_filtered_nov21,I met ‘monster’ reality TV star Donald Trump 16 years ago. The reality of him has been monstrous . . .
255,4.0,politics_filtered_nov21,Trump Owned By Parody Twitter Account He Apparently Believed Was His Sister’s
256,3.0,politics_filtered_nov19,Biden says Trump challenge to his election victory is 'totally irresponsible'
257,4.0,conservative_filtered_nov20,Butterball Releases Turkey With Biden-Harris Logo So You Can Just Say Your Thanksgiving Gathering Is A Political Rally
258,5.0,conservative_filtered_nov20,AOC to Biden Administration: 'Keep Your Promise' on $2T Green New Deal
259,4.0,politics_filtered_nov20,Trump’s lawsuits plagued by spelling errors: ‘I’ve never seen an election lawyer handle a case as poorly as Giuliani has’
260,4.0,politics_filtered_nov19,Trump campaign says ‘hackers’ sabotaged livestream to comment on Giuliani hair dye dripping down his face | ‘Unauthorized users’ were heard on the Trump campaign live stream mocking the brown streaks running down Giuliani’s face
261,3.0,politics_filtered_nov19,Biden team belittles ‘spectacle’ of sweaty Trump lawyer Rudy Giuliani pushing vote fraud conspiracy claims
262,4.0,conservative_filtered_nov21,"Biden stuggles with words at press conference -- 'I'm going to ... employ the defense, reconstruct the act'"
