group,title,coding
politics_filtered_nov20,Trump May Need to Be Impeached and Removed Before Inauguration Day,
politics_filtered_nov20,Count on Biden to Restore the National Monuments Trump Trashed,
conservative_filtered_nov20,Catholic Bishop: 'I Beg Mr. Biden to Repent of His Dissent From Catholic Teaching on Abortion &amp; Marriage',
politics_filtered_nov21,Impeach the president again — Removal from office wouldn’t be the goal this time. It would be to prevent Trump from running again.,
politics_filtered_nov21,"With Trump sabotaging American democracy, the Russians don’t need to interfere",
politics_filtered_nov19,Report: Trump reached out to GOP Wayne County canvassers who are now looking to reverse decision,
politics_filtered_nov20,"Democrats lose patience with GSA's Biden transition delay, demand answers",
politics_filtered_nov21,Trump Chooses Golf Over Virtual COVID-19 Meeting With World Leaders,
politics_filtered_nov20,Why Trump Should Not Have Access to U.S. Intelligence After January 20,
politics_filtered_nov21,Trump does not participate in G-20 event on global pandemic preparedness,
politics_filtered_nov21,Trump supporters plan D.C. rally two days before electoral college votes are cast,
politics_filtered_nov20,Is Trump Trying to Take the Economy Down With Him? | His Treasury secretary is shackling the nation’s central bank and closing an emergency program for local governments.,
politics_filtered_nov21,Michigan group sues Trump campaign for alleged mass voter suppression,
politics_filtered_nov19,Georgia's Republican Secretary of State and his wife received texts telling them they deserve 'to face a firing squad' as Trump escalated his attacks on election results,
conservative_filtered_nov20,Trump Campaign Lawyers: There is a Pattern of Planned Voter Fraud in Multiple States,
conservative_filtered_nov19,"Trump Campaign Withdraws Lawsuit in Michigan After Wayne County 'Relief,' Says Giuliani",
conservative_filtered_nov20,Mitt Romney issues scathing statement condemning President Trump's voter fraud claims,
conservative_filtered_nov19,Trump To Release “Clear Path To Victory” Today At High Noon!,
conservative_filtered_nov21,Whoa: Nearly a Third of Democrats Believe the Election Was Stolen From Trump,
conservative_filtered_nov20,"New Senate report purportedly 'confirms' Biden family's business ties to Chinese, Russian governments",
conservative_filtered_nov20,"Trump lawyers lay out voter fraud cases in Pennsylvania, Michigan and Wisconsin",
politics_filtered_nov19,Detroit Asks Court to Issue Sanction After Trump Campaign Lawyer Used Court Filing to ‘Spread Disinformation’,
politics_filtered_nov21,Michigan election staff recommend certification of Biden win,
politics_filtered_nov20,Trump and Giuliani are the Republican Party,
conservative_filtered_nov20,Biden vows there will be no national shutdown,
politics_filtered_nov20,"Senate GOP breaks 123-year tradition to pack courts with Trump’s judicial nominees in spite of loss. The latest judge approved by Mitch McConnell &amp; Co. is a 33-year-old lawyer who the Bar Assoc. rated “not qualified""",
politics_filtered_nov20,Solar Companies Ask Biden To Reverse Trump’s Biggest Blow To The Industry,
politics_filtered_nov20,Committee Chairs Summon GSA Head On Refusal to Grant Biden-Harris Team Access to Transition Resources,
politics_filtered_nov20,‘It’s Time for the State Bars to Come Get Their People’: Lawyers Eviscerate Trump Campaign’s ‘Nonsensical’ Press Conference,
politics_filtered_nov21,People Think Mnuchin Accidentally Said Trump Admin’s Most Honest Thing About COVID-19,
conservative_filtered_nov20,Trump campaign lawyer under protection following ‘threats of harm’,
conservative_filtered_nov19,Elizabeth Warren Calls for Biden to ‘Cancel Student Loan Debt for Tens of Millions of Americans’,
politics_filtered_nov20,Trump apparently mistakes parody Twitter account for one run by his sister,
conservative_filtered_nov19,"Ann Coulter: Gee, Why Can’t Trump Accept Defeat Like the Democrats?",
politics_filtered_nov19,Judge rejects Trump supporter’s attempt to block election results,
politics_filtered_nov21,'Certify the Results!': Michigan Lawmakers Blasted for 'Legitimizing a Fascist Coup Attempt' by Meeting With Trump,
politics_filtered_nov20,Trump Camp Outraged Georgia Recount Counted The Votes,
conservative_filtered_nov20,Intimidation Tactics Against Trump Lawyers Undermine Justice,
politics_filtered_nov21,Trump's 'Death Star' strategy: Forcing a fight over states' electors,
politics_filtered_nov20,The Case for Prosecuting Trump,
politics_filtered_nov21,Trump steps on Michigan lawmakers' message in tweets after meeting,
politics_filtered_nov19,Georgia expected to release results of Trump-Biden hand recount,
politics_filtered_nov19,Trump Has Slashed Jobs At Nearly Every Federal Agency; Biden Promises a Reversal,
politics_filtered_nov20,New York AG probes consulting payments to Ivanka that reduced Donald Trump's taxes,
politics_filtered_nov19,Joe Biden says stimulus package stalled because Republicans fear retribution from Trump,
politics_filtered_nov19,The Only Way for Biden to ‘Move the Country Forward’ Is To Hold Trump To Account for his,
politics_filtered_nov19,"Trump remains silent as US passes 250,000 COVID-19 deaths",
conservative_filtered_nov20,"New York Times op-ed admits 'Trump was right,' Democrats 'wrong,' about keeping schools open ""Some things are true even though President Trump says them""",
politics_filtered_nov21,Trump’s last-ditch efforts to overturn results fail to make dent in Biden victory,
conservative_filtered_nov19,"If Biden Can Take Power by Fraud, Our Republic Has Abolished Itself",
conservative_filtered_nov21,Nancy Pelosi calls Trump a 'Psychopathic Nut',
conservative_filtered_nov20,Do Trump’s Lawyers Know What They Are Doing?,
conservative_filtered_nov19,Trump Campaign Requests Recount of Key Counties in Wisconsin,
conservative_filtered_nov21,Chris Evans and Zach Braff Encourage Keeping Track of Trump ‘Enablers’,
politics_filtered_nov21,"Rahm Emanuel Reportedly Being Considered for Biden's Cabinet, a Choice That Would Be a Slap in the Face to Black Voters",
politics_filtered_nov19,Biden approaches 80 million votes in historic victory,
conservative_filtered_nov19,A Bad Sign? Trump Holds Blowout Clearance Sale On MAGA Hats,
politics_filtered_nov21,"The Trump campaign’s much-hyped affidavit features a big, glaring error",
conservative_filtered_nov19,"Ga. GOP: Biden got 9,626 votes in Dekalb County by mistake",
politics_filtered_nov20,Joe Biden confirmed as Georgia winner after recount,
conservative_filtered_nov20,Atlanta Mayor Suggests Trump Would ‘Eat His Own Children’ To Advance Agenda | The Daily Wire,
politics_filtered_nov19,Trump shared a video that featured a former administrator of QAnon's fringe message board spreading election misinformation,
conservative_filtered_nov20,Tucker Carlson Unloads On Trump Lawyer Sidney Powell Over Wild Election Claims: The Truth Matters,
conservative_filtered_nov20,Report: Biden’s proposed gun control plan could hit gun owners with $34 billion in taxes,
conservative_filtered_nov20,Trump Legal Adviser Jenna Ellis Rips Media: ‘You Are Not Unbiased Jurors’,
politics_filtered_nov21,"As world leaders meet to talk pandemic, Trump checks out and hits the links",
politics_filtered_nov20,Romney accuses Trump of trying to ‘subvert the will of the people’ with election challenges,
politics_filtered_nov20,Trump’s Attempts to Overturn the Election Are Unparalleled in U.S. History,
politics_filtered_nov19,"Trump boasts coronavirus mortality rate is ‘85% down’ as US death toll hits 250,000",
politics_filtered_nov19,Whoopi Goldberg blasts Trump over COVID-19 spike: 'This blood is on his hands',
politics_filtered_nov20,Shirkey and Chatfield: Your meeting with Trump is dangerous,
